,scale type,regression type,learning rate,eta0,iterations,mse,r2
0,none,1,constant,0.0001,200000,7.664825583448893e+30,-5.708623149735762e+20
1,none,1,constant,0.0001,300000,6.706099873755543e+29,-4.9859679275523645e+19
2,none,1,constant,1e-05,200000,4.059777051420485e+27,-2.9971059181045286e+17
3,none,1,constant,1e-05,300000,2.5738718238082146e+27,-1.9541106857507635e+17
4,none,1,constant,1e-06,200000,1.4204386102541182e+25,-1062243064110349.2
5,none,1,constant,1e-06,300000,2.428558539048022e+26,-1.881019785503284e+16
6,none,2,constant,0.0001,200000,1.2154782174899282e+48,-9.098222216887003e+37
7,none,2,constant,0.0001,300000,1.5483280795202853e+48,-1.1948828444883958e+38
8,none,2,constant,1e-05,200000,4.383721538693672e+44,-3.2705167110052553e+34
9,none,2,constant,1e-05,300000,3.4104405839467027e+46,-2.62616909754898e+36
10,none,2,constant,1e-06,200000,2.670725393874358e+43,-1.9675313242930926e+33
11,none,2,constant,1e-06,300000,3.4362102178991136e+42,-2.6360121843535896e+32
12,none,3,constant,0.0001,200000,4.590729396965246e+65,-3.6145917570329055e+55
13,none,3,constant,0.0001,300000,1.3812302966476608e+66,-1.038050478734186e+56
14,none,3,constant,1e-05,200000,3.6722798464022573e+62,-2.80338293010082e+52
15,none,3,constant,1e-05,300000,4.550627886833342e+64,-3.587644502583035e+54
16,none,3,constant,1e-06,200000,5.403685557229463e+61,-4.0143890545956354e+51
17,none,3,constant,1e-06,300000,2.2840500436892374e+62,-1.6969877625723643e+52
18,std,1,constant,0.0001,200000,4824632932.533076,0.6392105207232355
19,std,1,constant,0.0001,300000,4822859095.229029,0.6393511243324449
20,std,1,constant,1e-05,200000,4822600976.170155,0.6393726967407244
21,std,1,constant,1e-05,300000,4822193356.417169,0.6394030175535226
22,std,1,constant,1e-06,200000,4820860771.596197,0.6395029324721522
23,std,1,constant,1e-06,300000,4820929799.331294,0.6394980166554328
24,std,2,constant,0.0001,200000,4472361970.321999,0.6654947813082516
25,std,2,constant,0.0001,300000,4440951423.912534,0.6679608771322412
26,std,2,constant,1e-05,200000,4433456264.3726635,0.6685156320046436
27,std,2,constant,1e-05,300000,4438347573.437586,0.6681354248378583
28,std,2,constant,1e-06,200000,4412972495.857371,0.670049846925606
29,std,2,constant,1e-06,300000,4412961188.088221,0.6700497175640575
30,std,3,constant,0.0001,200000,3.317456927483356e+18,-248131199.20383102
31,std,3,constant,0.0001,300000,8.713927494798726e+18,-654845223.9458437
32,std,3,constant,1e-05,200000,4252283178.626471,0.6819538275586381
33,std,3,constant,1e-05,300000,4263376643.1950393,0.6810497360695447
34,std,3,constant,1e-06,200000,4253180659.998278,0.6818853762374246
35,std,3,constant,1e-06,300000,4257287191.894662,0.6815797638421597
36,robust,1,constant,0.0001,200000,4891496496.577202,0.6341263257820021
37,robust,1,constant,0.0001,300000,4897877976.539728,0.6336427250897188
38,robust,1,constant,1e-05,200000,4897863335.1187,0.6336400594189895
39,robust,1,constant,1e-05,300000,4902822516.351118,0.6332720706226522
40,robust,1,constant,1e-06,200000,4890678011.231803,0.6341749217315459
41,robust,1,constant,1e-06,300000,4890491208.62569,0.6341890776895188
42,robust,2,constant,0.0001,200000,1.4616918484034273e+20,-10895715969.027016
43,robust,2,constant,0.0001,300000,3.196719472398704e+20,-24031796808.09152
44,robust,2,constant,1e-05,200000,5474070717.575254,0.5897979461023031
45,robust,2,constant,1e-05,300000,5239803199.183074,0.6073313727518506
46,robust,2,constant,1e-06,200000,5121082061.857218,0.6158307780372428
47,robust,2,constant,1e-06,300000,5149630796.497058,0.6135134091320202
48,robust,3,constant,0.0001,200000,4.866307068146748e+26,-3.626929207870219e+16
49,robust,3,constant,0.0001,300000,4.652335444788176e+25,-3454566382301875.5
50,robust,3,constant,1e-05,200000,1.890668446918346e+25,-1431012811055843.5
51,robust,3,constant,1e-05,300000,2.5941712157213844e+25,-1928950804289183.5
52,robust,3,constant,1e-06,200000,5.722852559384458e+22,-4375316785599.4155
53,robust,3,constant,1e-06,300000,4.886002523756095e+22,-3626566785315.8955
